"","jmena","count"
"1","",13
"2","Björn DAEHLIE",9
"3","Kjetil Andre AAMODT",8
"4","Raisa SMETANINA",7
"5","Sixten JERNBERG",7
"6","Stefania BELMONDO",7
"7","Ljubov EGOROVA",7
"8","Ole Einar BJOERNDALEN",7
"9","Johan GROTTUMSBRAATEN",6
"10","Gunda NIEMANN-STIRNEMANN",6
"11","Bonnie BLAIR",6
"12","Claudia PECHSTEIN",6
"13","Katerina NEUMANNOVA",6
"14","Janica KOSTELIC",6
"15","Vladimir SMIRNOV",6
"16","Anja PAERSON",6
"17","Veikko HAKULINEN",5
"18","Alberto TOMBA",5
"19","Katja SEIZINGER",5
"20","Georg HACKL",5
"21","Vreni SCHNEIDER",5
"22","Lasse KJUS",5
"23","Cindy KLASSEN",5
"24","Julija TCHEPALOVA",5
"25","Uschi DISL",5
"26","Armin ZOEGGELER",5
"27","Marja-Liisa KIRVESNIEMI",5
"28","Bode MILLER",5
"29","Eero MÄNTYRANTA",4
"30","Galina KULAKOVA",4
"31","Matti NYKANEN",4
"32","Gunde Anders SVAN",4
"33","Elena VAELBE",4
"34","Manuela DI CENTA",4
"35","Rintje RITSMA",4
"36","Larissa LAZUTINA",4
"37","Deborah COMPAGNONI",4
"38","Mika MYLLYLAE",4
"39","Felix GOTTWALD",4
"40","Hanni WENZEL",4
"41","Kati WILHELM",4
"42","Sven FISCHER",4
"43","Hermann MAIER",4
"44","Benjamin RAICH",4
"45","Stephan EBERHARTER",4
"46","Chad HEDRICK",4
"47","Shani DAVIS",4
"48","Adam MALYSZ",4
"49","Simon AMMANN",4
"50","Johann Olav KOSS",4
"51","Vegard ULVANG",4
"52","Justyna KOWALCZYK",4
"53","Marit BJOERGEN",4
"54","Thorleif HAUG",3
"55","Gillis GRAFSTRÖM",3
"56","Sonja HENIE",3
"57","Henri OREILLER",3
"58","Mirl BUCHNER",3
"59","Josef STIEGLER",3
"60","Harald GRÖNNINGEN",3
"61","Lyudmila TITOVA",3
"62","Gustavo THÖNI",3
"63","Rosi MITTERMAIER",3
"64","Ulrich WEHLING",3
"65","Jean-Claude KILLY",3
"66","Helena TAKALO",3
"67","Frank-Peter ROETSCH",3
"68","Nikolay ZIMYATOV",3
"69","Christa KINSHOFER GUETHLEIN",3
"70","Maria WALLISER",3
"71","Perrine PELEN",3
"72","Christa LUDING",3
"73","Emese HUNYADY",3
"74","Jens WEISSFLOG",3
"75","Anton SAILER",3
"76","Jan BEHRENDT
Stefan KRAUSSE",3
"77","Pernilla WIBERG",3
"78","Jochem UYTDEHAAGE",3
"79","Vyacheslav VEDENIN",3
"80","Catriona LEMAY DOAN",3
"81","Hiroyasu SHIMIZU",3
"82","Annemarie MOSER-PROLL",3
"83","Myriam BEDARD",3
"84","Bente SKARI",3
"85","Ricco GROSS",3
"86","Isolde KOSTNER",3
"87","Martina ERTL",3
"88","Joey CHEEK",3
"89","Kari TRAA",3
"90","Marie-Theres NADIG",3
"91","Anni FRIESINGER",3
"92","Trude BEISER-JOCHUM",3
"93","Adne SONDRAL",3
"94","Andrus VEERPALU",3
"95","Alexandra MEISSNITZER",3
"96","Marielle GOITSCHEL",3
"97","Michaela DORFMEISTER",3
"98","Marina KLIMOVA
Sergey PONOMARENKO",3
"99","Meng WANG",3
"100","Qiaobo YE",3
