jmeno|prezdivka|pohlavi|vyska|vaha|narozeni|umrti|klub|stat|sport|hry1|udalost1|tym1|poradi1|medaile1|detail1|hry2|udalost2|tym2|poradi2|medaile2|detail2|hry3|udalost3|tym3|poradi3|medaile3|detail3|hry4|udalost4|tym4|poradi4|medaile4|detail4|hry5|udalost5|tym5|poradi5|medaile5|detail5|hry6|udalost6|tym6|poradi6|medaile6|detail6|hry7|udalost7|tym7|poradi7|medaile7|detail7|hry8|udalost8|tym8|poradi8|medaile8|detail8|hry9|udalost9|tym9|poradi9|medaile9|detail9|hry10|udalost10|tym10|poradi10|medaile10|detail10|hry11|udalost11|tym11|poradi11|medaile11|detail11|hry12|udalost12|tym12|poradi12|medaile12|detail12|hry13|udalost13|tym13|poradi13|medaile13|detail13|hry14|udalost14|tym14|poradi14|medaile14|detail14|hry15|udalost15|tym15|poradi15|medaile15|detail15|hry16|udalost16|tym16|poradi16|medaile16|detail16|hry17|udalost17|tym17|poradi17|medaile17|detail17|hry18|udalost18|tym18|poradi18|medaile18|detail18|hry19|udalost19|tym19|poradi19|medaile19|detail19|hry20|udalost20|tym20|poradi20|medaile20|detail20|hry21|udalost21|tym21|poradi21|medaile21|detail21|hry22|udalost22|tym22|poradi22|medaile22|detail22|hry23|udalost23|tym23|poradi23|medaile23|detail23|hry24|udalost24|tym24|poradi24
Jiřína Adamičková-Pelcová||Female|"5'8"" (173 cm)"|137 lbs (62 kg)|1969-11-22||SKP Jablonex, Jablonec nad Nisou (CZE)|Czech Republic|Biathlon|1992 Winter|Women's 7.5 kilometres Sprint|Czechoslovakia|5|||1992 Winter|Women's 15 kilometres|Czechoslovakia|23|||1992 Winter|Women's 3 × 7.5 kilometres Relay|Czechoslovakia|8|||1994 Winter|Women's 7.5 kilometres Sprint|Czech Republic|49|||1994 Winter|Women's 15 kilometres|Czech Republic|37|||1994 Winter|Women's 4 × 7.5 kilometres Relay|Czech Republic|7|||1998 Winter|Women's 7.5 kilometres Sprint|Czech Republic|35|||1998 Winter|Women's 15 kilometres|Czech Republic|38|||1998 Winter|Women's 4 × 7.5 kilometres Relay|Czech Republic|6||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jan Alinč||Male|"6'2"" (188 cm)"|174 lbs (79 kg)|1972-05-27||HC Litvínov, Litvínov (CZE)|Czech Republic|Ice Hockey|1994 Winter|Men's Ice Hockey|Czech Republic|5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
René Andrle||Male|"5'10"" (178 cm)"|154 lbs (70 kg)|1974-04-01||Liberty Seguros, ESP|Czech Republic|Cycling|2004 Summer|Men's Road Race, Individual|Czech Republic|55|||2004 Summer|Men's Individual Time Trial|Czech Republic|16||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jan Andrlík||Male|"5'10"" (179 cm)"|179 lbs (81 kg)|1977-05-17|||Czech Republic|Canoeing|2000 Summer|Men's Kayak Doubles, 1,000 metres|Czech Republic|AC h1r2/3||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jitka Antošová||Female|"5'9"" (175 cm)"|161 lbs (73 kg)|1987-03-13||VK Slavia Praha|Czech Republic|Rowing|2008 Summer|Women's Double Sculls|Czech Republic|6||QU|2012 Summer|Women's Double Sculls|Czech Republic|7||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Lenka Antošová||Female|"5'10"" (177 cm)"|154 lbs (70 kg)|1991-09-27|||Czech Republic|Rowing|2012 Summer|Women's Double Sculls|Czech Republic|7||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jaroslav Bába||Male|"6'5"" (196 cm)"|181 lbs (82 kg)|1984-09-02||SSK Vítkovice, Vítkovice, Ostrava (CZE)|Czech Republic|Athletics|2004 Summer|Men's High Jump|Czech Republic|3|Bronze||2008 Summer|Men's High Jump|Czech Republic|6|||2012 Summer|Men's High Jump|Czech Republic|21T  r1/2||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Tomáš Bábek||Male|"6'1"" (186 cm)"|185 lbs (84 kg)|1987-06-04||ASO Dukla Brno|Czech Republic|Cycling|2008 Summer|Men's Team Sprint|Czech Republic|11||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Kateřina Baďurová||Female|"5'6"" (168 cm)"|119 lbs (54 kg)|1982-12-18||USK Praha, Praha (CZE) / Dukla Praha, Praha (CZE)|Czech Republic|Athletics|2004 Summer|Women's Pole Vault|Czech Republic|12|||2008 Summer|Women's Pole Vault|Czech Republic|AC QR||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
David Bakeš||Male|"6'3"" (191 cm)"|192 lbs (87 kg)|1982-08-02||Dukla Liberec / Czech SBX Team|Czech Republic|Snowboarding|2010 Winter|Men's Boardercross|Czech Republic|32||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Milan Bakeš||Male|"5'11"" (180 cm)"|187 lbs (85 kg)|1963-01-26||TSM Bardubice, SKP Rapid Plzeň|Czech Republic|Shooting|1992 Summer|Men's Small-Bore Rifle, Three Positions, 50 metres|Czechoslovakia|21T |||1992 Summer|Men's Small-Bore Rifle, Prone, 50 metres|Czechoslovakia|31T |||1996 Summer|Men's Air Rifle, 10 metres|Czech Republic|8|||1996 Summer|Men's Small-Bore Rifle, Three Positions, 50 metres|Czech Republic|18T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Helena Balatková-Erbenová||Female|"5'3"" (160 cm)"|110 lbs (50 kg)|1979-02-06||SKP Jablonex, Jablonec nad Nisou (CZE)|Czech Republic|Cross Country Skiing|2002 Winter|Women's Sprint|Czech Republic|42|||2002 Winter|Women's 15 kilometres|Czech Republic|41|||2002 Winter|Women's 5/5 kilometres Pursuit|Czech Republic|42|||2002 Winter|Women's 4 × 5 kilometres Relay|Czech Republic|4|||2006 Winter|Women's 30 kilometres|Czech Republic|39|||2006 Winter|Women's 15 km Skiathlon|Czech Republic|29|||2006 Winter|Women's 4 × 5 kilometres Relay|Czech Republic|6|||2006 Winter|Women's Team Sprint|Czech Republic|12||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Ondřej Bank||Male|"5'9"" (176 cm)"|187 lbs (85 kg)|1980-10-27||Dukla Liberec, Liberec (CZE)|Czech Republic|Alpine Skiing|2002 Winter|Men's Downhill|Czech Republic|39|||2002 Winter|Men's Giant Slalom|Czech Republic|AC||DNF|2002 Winter|Men's Slalom|Czech Republic|AC||DNF|2002 Winter|Men's Combined|Czech Republic|AC||DNF|2006 Winter|Men's Downhill|Czech Republic|AC||DNF|2006 Winter|Men's Super G|Czech Republic|AC||DNF|2006 Winter|Men's Giant Slalom|Czech Republic|16|||2006 Winter|Men's Combined|Czech Republic|6|||2010 Winter|Men's Downhill|Czech Republic|30|||2010 Winter|Men's Giant Slalom|Czech Republic|17|||2010 Winter|Men's Slalom|Czech Republic|11|||2010 Winter|Men's Combined|Czech Republic|7||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Milan Baroš||Male|"5'11"" (181 cm)"|170 lbs (77 kg)|1981-10-28||Baník Ostrava, Ostrava (CZE)|Czech Republic|Football|2000 Summer|Men's Football|Czech Republic|14||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jan Bárta||Male|"6'0"" (184 cm)"|161 lbs (73 kg)|1984-12-07|||Czech Republic|Cycling|2012 Summer|Men's Road Race, Individual|Czech Republic|75||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Lenka Bartáková||Female|"5'9"" (175 cm)"|141 lbs (64 kg)|1991-05-17||TJ Sokol Hradec Králové, Hradec Králové (CZE)|Czech Republic|Basketball|2012 Summer|Women's Basketball|Czech Republic|7||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jitka Bartoničková||Female|"5'9"" (175 cm)"|123 lbs (56 kg)|1985-12-22|||Czech Republic|Athletics|2012 Summer|Women's 4 × 400 metres Relay|Czech Republic|7||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Kateřina Bartoňová||Female|"5'9"" (174 cm)"|143 lbs (65 kg)|1990-01-17||USK Praha, Praha (CZE)|Czech Republic|Basketball|2012 Summer|Women's Basketball|Czech Republic|7||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Zdeňka Bartoňová-Šilhavá (Kusá-)||Female|"5'10"" (178 cm)"|187 lbs (85 kg)|1954-06-15||TJ Vítkovice, Ostrava (CZE) / RH Praha, Praha (CZE) / AC Start, Karlovy Vary (CZE)|Czech Republic|Athletics|1980 Summer|Women's Shot Put|Czechoslovakia|10|||1980 Summer|Women's Discus Throw|Czechoslovakia|11|||1988 Summer|Women's Shot Put|Czechoslovakia|11|||1988 Summer|Women's Discus Throw|Czechoslovakia|6|||1996 Summer|Women's Discus Throw|Czech Republic|19 QR||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Daniela Bártová (-Brecková)||Female|"5'4"" (163 cm)"|141 lbs (64 kg)|1974-05-06|||Czech Republic|Athletics|1992 Summer|Women's Individual All-Around|Czechoslovakia|61 QR|||1992 Summer|Women's Floor Exercise|Czechoslovakia|63T  QR|||1992 Summer|Women's Horse Vault|Czechoslovakia|56T  QR|||1992 Summer|Women's Uneven Bars|Czechoslovakia|67 QR|||1992 Summer|Women's Balance Beam|Czechoslovakia|56 QR|||2000 Summer|Women's Pole Vault|Czech Republic|4||OR||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
