jmeno|prezdivka|pohlavi|vyska|vaha|narozeni|umrti|klub|stat|sport|hry1|udalost1|tym1|poradi1|medaile1|detail1|hry2|udalost2|tym2|poradi2|medaile2|detail2|hry3|udalost3|tym3|poradi3|medaile3|detail3|hry4|udalost4|tym4|poradi4|medaile4|detail4|hry5|udalost5|tym5|poradi5|medaile5|detail5|hry6|udalost6|tym6|poradi6|medaile6|detail6|hry7|udalost7|tym7|poradi7|medaile7|detail7|hry8|udalost8|tym8|poradi8|medaile8|detail8|hry9|udalost9|tym9|poradi9|medaile9|detail9|hry10|udalost10|tym10|poradi10|medaile10|detail10|hry11|udalost11|tym11|poradi11|medaile11|detail11|hry12|udalost12|tym12|poradi12|medaile12|detail12|hry13|udalost13|tym13|poradi13|medaile13|detail13|hry14|udalost14|tym14|poradi14|medaile14|detail14|hry15|udalost15|tym15|poradi15|medaile15|detail15|hry16|udalost16|tym16|poradi16|medaile16|detail16|hry17|udalost17|tym17|poradi17|medaile17|detail17|hry18|udalost18|tym18|poradi18|medaile18|detail18|hry19|udalost19|tym19|poradi19|medaile19|detail19|hry20|udalost20|tym20|poradi20|medaile20|detail20|hry21|udalost21|tym21|poradi21|medaile21|detail21|hry22|udalost22|tym22|poradi22|medaile22|detail22|hry23|udalost23|tym23|poradi23|medaile23|detail23|hry24|udalost24|tym24|poradi24
Jiří Adam||Male|"6'2"" (187 cm)"|183 lbs (83 kg)|1950-10-12|||Czechoslovakia|Fencing|1976 Summer|Men's Individual|Czechoslovakia|29|||1976 Summer|Men's Team|Czechoslovakia|2|Silver||1980 Summer|Men's Épée, Team|Czechoslovakia|6||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Luboš Adamec||Male|"6'0"" (184 cm)"|170 lbs (77 kg)|1959-04-18||Dukla Praha/Kometa Brno|Czechoslovakia|Shooting|1988 Summer|Mixed Skeet|Czechoslovakia|27T |||1992 Summer|Mixed Skeet|Czechoslovakia|11T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Petr Adamec||Male|"6'2"" (187 cm)"|192 lbs (87 kg)|1960-06-06|||Czechoslovakia|Swimming|1980 Summer|Men's 200 metres Freestyle|Czechoslovakia|4 h5 r1/2|||1980 Summer|Men's 400 metres Freestyle|Czechoslovakia|5 h3 r1/2|||1980 Summer|Men's 4 × 200 metres Freestyle Relay|Czechoslovakia|5 h2 r1/2||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Josef Adolf||Male|||1898-05-14|||Czechoslovakia|Nordic Combined|1924 Winter|Men's Individual|Czechoslovakia|6||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jaroslav Alexa||Male|"6'1"" (185 cm)"|172 lbs (78 kg)|1949-07-06|2008-08-05|Zbrojovka Brno, Brno (CZE) / Dukla Praha, Praha (CZE)|Czechoslovakia|Athletics|1968 Summer|Men's High Jump|Czechoslovakia|18T  QR|||1972 Summer|Men's High Jump|Czechoslovakia|29 QR||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Vladimír Andrs||Male|"5'9"" (176 cm)"|165 lbs (75 kg)|1937-05-12|||Czechoslovakia|Rowing|1964 Summer|Men's Double Sculls|Czechoslovakia|3|Bronze|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Ladislav Ankert||Male|||1902|||Czechoslovakia|Water Polo|1924 Summer|Men's Water Polo|Czechoslovakia|6||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Eva Antalecová||Female|"5'10"" (178 cm)"|143 lbs (65 kg)|1966-01-18||SL Prešov/PF Banka Bystrica/SCP Ružomberok|Czechoslovakia|Basketball|1992 Summer|Women's Basketball|Czechoslovakia|6||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Eduard Antoch||Male||||||Czechoslovakia|Rowing|1956 Summer|Men's Coxed Eights|Czechoslovakia|3 h2 r3/4||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Václav Antoš||Male|||1905-01-19|||Czechoslovakia|Swimming|1924 Summer|Men's 400 metres Freestyle|Czechoslovakia|5 h1 r2/3|||1924 Summer|Men's 1,500 metres Freestyle|Czechoslovakia|4 h5 r1/3|||1924 Summer|Men's 4 × 200 metres Freestyle Relay|Czechoslovakia|3 h3 r1/3|||1928 Summer|Men's 400 metres Freestyle|Czechoslovakia|3 h3 r1/3|||1928 Summer|Men's 1,500 metres Freestyle|Czechoslovakia|3 h3 r1/3||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
