"","stat","medaile","celkem"
"1","BEL","zlato",1
"2","BEL","stříbro",1
"3","HUN","bronz",4
"4","EUA","stříbro",5
"5","EUA","bronz",5
"6","ROU","bronz",1
"7","TCH","zlato",2
"8","ESP","zlato",1
"9","HUN","stříbro",2
"10","LIE","stříbro",2
"11","YUG","bronz",1
"12","TCH","stříbro",8
"13","URS","stříbro",46
"14","GDR","zlato",33
"15","URS","bronz",46
"16","GDR","bronz",27
"17","GDR","stříbro",27
"18","URS","zlato",61
"19","FRG","bronz",13
"20","YUG","stříbro",3
"21","LIE","bronz",5
"22","FRG","stříbro",15
"23","FRG","zlato",13
"24","TCH","bronz",15
"25","EUN","stříbro",6
"26","EUN","bronz",7
"27","EUN","zlato",9
"28","LUX","stříbro",2
"29","ESP","bronz",1
"30","NZL","stříbro",1
"31","UKR","zlato",1
"32","UZB","zlato",1
"33","KAZ","zlato",1
"34","BEL","bronz",3
"35","KAZ","bronz",1
"36","UKR","stříbro",1
"37","BUL","zlato",1
"38","GBR","bronz",9
"39","FIN","zlato",34
"40","","stříbro",4
"41","EST","bronz",1
"42","BUL","stříbro",1
"43","KOR","bronz",3
"44","GBR","stříbro",3
"45","LAT","bronz",1
"46","EUA","zlato",7
"47","JPN","zlato",8
"48","AUS","bronz",2
"49","CZE","stříbro",5
"50","EST","zlato",4
"51","UKR","bronz",3
"52","CRO","zlato",4
"53","SUI","stříbro",36
"54","CZE","zlato",5
"55","NED","bronz",13
"56","NED","stříbro",18
"57","KOR","stříbro",6
"58","GBR","zlato",8
"59","NED","zlato",16
"60","FIN","stříbro",51
"61","LAT","stříbro",2
"62","ITA","bronz",36
"63","CHN","zlato",4
"64","JPN","stříbro",11
"65","KOR","zlato",10
"66","JPN","bronz",13
"67","CHN","stříbro",10
"68","AUS","zlato",4
"69","BLR","zlato",1
"70","AUS","stříbro",1
"71","DEN","stříbro",1
"72","CHN","bronz",11
"73","POL","bronz",5
"74","POL","zlato",2
"75","SLO","bronz",5
"76","POL","stříbro",5
"77","SWE","stříbro",30
"78","FIN","bronz",48
"79","ITA","stříbro",31
"80","EST","stříbro",2
"81","SVK","bronz",1
"82","RUS","stříbro",29
"83","SWE","zlato",41
"84","SVK","stříbro",2
"85","GER","bronz",47
"86","FRA","stříbro",27
"87","RUS","zlato",35
"88","","bronz",9
"89","BLR","stříbro",4
"90","BUL","bronz",2
"91","BLR","bronz",4
"92","FRA","zlato",27
"93","FRA","bronz",40
"94","SVK","zlato",1
"95","CAN","bronz",38
"96","CAN","zlato",44
"97","RUS","bronz",26
"98","CAN","stříbro",36
"99","GER","stříbro",70
"100","SUI","bronz",45
"101","AUT","zlato",55
"102","NOR","zlato",86
"103","SLO","stříbro",2
"104","NOR","bronz",67
"105","KAZ","stříbro",3
"106","CZE","bronz",6
"107","AUT","stříbro",68
"108","GER","zlato",66
"109","CRO","bronz",1
"110","SWE","bronz",43
"111","CRO","stříbro",5
"112","ITA","zlato",34
"113","AUT","bronz",74
"114","LIE","zlato",2
"115","USA","stříbro",78
"116","USA","zlato",74
"117","USA","bronz",58
"118","NOR","stříbro",80
"119","SUI","zlato",44
