"","stat","count"
"1","NOR",233
"2","USA",210
"3","AUT",197
"4","GER",183
"5","URS",153
"6","FIN",133
"7","SUI",125
"8","CAN",118
"9","SWE",114
"10","ITA",101
"11","FRA",94
"12","RUS",90
"13","GDR",87
"14","NED",47
"15","FRG",41
"16","JPN",32
"17","TCH",25
"18","CHN",25
"19","EUN",22
"20","GBR",20
"21","KOR",19
"22","EUA",17
"23","CZE",16
"24","",13
"25","POL",12
"26","CRO",10
"27","LIE",9
"28","BLR",9
"29","AUS",7
"30","EST",7
"31","SLO",7
"32","HUN",6
"33","BEL",5
"34","UKR",5
"35","KAZ",5
"36","YUG",4
"37","BUL",4
"38","SVK",4
"39","LAT",3
"40","LUX",2
"41","ESP",2
"42","ROU",1
"43","NZL",1
"44","UZB",1
"45","DEN",1
